instrument_name,strike,expiration_date,volume,option_type
BTC-18MAR25-86000-C,86000.0,2025-03-18,612.2,call
BTC-4APR25-94000-C,94000.0,2025-04-04,205.3,call
BTC-4APR25-90000-C,90000.0,2025-04-04,137.8,call
BTC-21MAR25-85000-C,85000.0,2025-03-21,61.1,call
BTC-28MAR25-92000-C,92000.0,2025-03-28,59.4,call
BTC-28MAR25-80000-P,80000.0,2025-03-28,87.7,put
BTC-21MAR25-84000-P,84000.0,2025-03-21,55.9,put
BTC-17MAR25-80000-P,80000.0,2025-03-17,47.9,put
BTC-18MAR25-84000-P,84000.0,2025-03-18,46.6,put
BTC-25APR25-82000-P,82000.0,2025-04-25,46.4,put
