instrument_name,strike,expiration_date,open_interest,option_type
ETH-26DEC25-3000-C,3000.0,2025-12-26,39981.0,call
ETH-26DEC25-2000-C,2000.0,2025-12-26,35088.0,call
ETH-25APR25-3000-C,3000.0,2025-04-25,21405.0,call
ETH-27JUN25-3000-C,3000.0,2025-06-27,19617.0,call
ETH-25APR25-2300-C,2300.0,2025-04-25,19018.0,call
ETH-4APR25-1800-P,1800.0,2025-04-04,43114.0,put
ETH-25APR25-1800-P,1800.0,2025-04-25,20308.0,put
ETH-25APR25-2000-P,2000.0,2025-04-25,18833.0,put
ETH-30MAY25-1500-P,1500.0,2025-05-30,18590.0,put
ETH-27JUN25-2200-P,2200.0,2025-06-27,12126.0,put
