instrument_name,strike,expiration_date,volume,option_type
ETH-27JUN25-1800-C,1800.0,2025-06-27,8970.0,call
ETH-4APR25-1800-C,1800.0,2025-04-04,8319.0,call
ETH-25APR25-2000-C,2000.0,2025-04-25,4682.0,call
ETH-30MAY25-1800-C,1800.0,2025-05-30,2250.0,call
ETH-25APR25-1900-C,1900.0,2025-04-25,1923.0,call
ETH-4APR25-1700-P,1700.0,2025-04-04,8201.0,put
ETH-1APR25-1750-P,1750.0,2025-04-01,3555.0,put
ETH-1APR25-1800-P,1800.0,2025-04-01,3047.0,put
ETH-18APR25-1400-P,1400.0,2025-04-18,2780.0,put
ETH-4APR25-1800-P,1800.0,2025-04-04,2695.0,put
