expiration_date,strike,option_type,implied_volatility,mean_iv,deviation_pct,days_to_expiration,volume,open_interest
2025-03-31,1600.0,call,160.28,92.72095238095237,72.8627628213688,1,3.0,1.0
2025-03-31,1600.0,put,160.28,92.72095238095237,72.8627628213688,1,1869.0,1885.0
2025-04-01,1550.0,call,141.27,91.34954545454546,54.64773173972105,2,0.0,0.0
2025-04-01,1550.0,put,141.27,91.34954545454546,54.64773173972105,2,610.0,443.0
2025-04-25,5500.0,call,133.21,87.0790909090909,52.975873552778594,26,20.0,3591.0
2025-04-25,5500.0,put,133.21,87.0790909090909,52.975873552778594,26,0.0,0.0
2025-06-27,15000.0,call,125.23,82.35435897435897,52.06238207620601,89,11.0,5248.0
2025-06-27,15000.0,put,125.23,82.35435897435897,52.06238207620601,89,0.0,1.0
2025-04-04,1400.0,call,134.16,89.390625,50.082852648138434,5,0.0,0.0
2025-04-04,1400.0,put,134.16,89.390625,50.082852648138434,5,605.0,3141.0
2025-06-27,14000.0,call,121.69,82.35435897435897,47.76388465107011,89,38.0,1848.0
2025-06-27,14000.0,put,121.69,82.35435897435897,47.76388465107011,89,0.0,0.0
2025-03-31,1650.0,call,136.48,92.72095238095237,47.19434658011238,1,0.0,0.0
2025-03-31,1650.0,put,136.48,92.72095238095237,47.19434658011238,1,391.0,477.0
2025-04-25,5000.0,call,127.17,87.0790909090909,46.0396504744903,26,18.0,2314.0
2025-04-25,5000.0,put,127.17,87.0790909090909,46.0396504744903,26,0.0,0.0
2025-04-02,1550.0,call,125.12,86.7035,44.30789991176826,3,0.0,0.0
2025-04-02,1550.0,put,125.12,86.7035,44.30789991176826,3,140.0,89.0
2025-06-27,13000.0,call,117.85,82.35435897435897,43.101107783126075,89,5.0,4457.0
2025-06-27,13000.0,put,117.85,82.35435897435897,43.101107783126075,89,0.0,0.0
2025-06-27,12000.0,call,115.43,82.35435897435897,40.16258694447386,89,0.0,1252.0
2025-06-27,12000.0,put,115.43,82.35435897435897,40.16258694447386,89,0.0,102.0
2025-04-01,1600.0,call,126.18,91.34954545454546,38.128766128109305,2,0.0,0.0
2025-04-01,1600.0,put,126.18,91.34954545454546,38.128766128109305,2,406.0,385.0
2025-06-27,11000.0,call,112.2,82.35435897435897,36.240511610239686,89,0.0,2923.0
2025-06-27,11000.0,put,112.2,82.35435897435897,36.240511610239686,89,0.0,127.0
2025-04-25,1000.0,call,116.72,87.0790909090909,34.03906584400808,26,0.0,0.0
2025-04-25,1000.0,put,116.72,87.0790909090909,34.03906584400808,26,112.0,4908.0
2025-04-02,1600.0,call,115.1,86.7035,32.751273016660214,3,0.0,0.0
2025-04-02,1600.0,put,115.1,86.7035,32.751273016660214,3,10.0,10.0
2025-04-25,4500.0,call,115.56,87.0790909090909,32.70694353095934,26,0.0,2131.0
2025-04-25,4500.0,put,115.56,87.0790909090909,32.70694353095934,26,0.0,720.0
2025-03-31,1850.0,call,62.56,92.72095238095237,-32.52873445155458,1,979.0,834.0
2025-03-31,1850.0,put,62.56,92.72095238095237,-32.52873445155458,1,315.0,819.0
2025-03-31,1875.0,call,63.19,92.72095238095237,-31.84927637458015,1,588.0,1453.0
2025-03-31,1875.0,put,63.19,92.72095238095237,-31.84927637458015,1,18.0,473.0
2025-06-27,10000.0,call,108.15,82.35435897435897,31.322739132329964,89,5.0,3632.0
2025-06-27,10000.0,put,108.15,82.35435897435897,31.322739132329964,89,0.0,234.0
2025-04-25,4400.0,call,113.05,87.0790909090909,29.8245064570349,26,10.0,1815.0
2025-04-25,4400.0,put,113.05,87.0790909090909,29.8245064570349,26,0.0,0.0
2025-05-30,1000.0,call,89.02,69.28,28.493071593533482,61,0.0,204.0
2025-05-30,1000.0,put,89.02,69.28,28.493071593533482,61,1.0,6958.0
2025-04-04,2600.0,call,114.45,89.390625,28.033560566334558,5,355.0,2215.0
2025-04-04,2600.0,put,114.45,89.390625,28.033560566334558,5,3.0,532.0
2025-03-31,1900.0,call,66.73,92.72095238095237,-28.03136908491427,1,877.0,1857.0
2025-03-31,1900.0,put,66.73,92.72095238095237,-28.03136908491427,1,10.0,547.0
